faction,region
cib_fact_ambiani,cib_reg_dun_na_ramhainn_aon
cib_fact_ambiani,cib_reg_ictinovium
cib_fact_ambiani,cib_reg_samarobriva
cib_fact_ambiani,cib_reg_wextsetla
cib_fact_atrebates,cib_reg_broch_lech
cib_fact_atrebates,cib_reg_dun_dwfr
cib_fact_atrebates,cib_reg_dun_firth
cib_fact_atrebates,cib_reg_duno_uper_abona
cib_fact_atrebates,cib_reg_durtun
cib_fact_atrebates,cib_reg_londonjon
cib_fact_atrebates,cib_reg_nemetocenna
cib_fact_atrebates,cib_reg_rgos_dun
cib_fact_atrebates,cib_reg_triker
cib_fact_atrebates,cib_reg_venta
cib_fact_auteni,cib_reg_ivernia
cib_fact_auteni,cib_reg_tuaim_da_ghualann
cib_fact_bellovaci,cib_reg_bratus
cib_fact_brigantes,cib_reg_ard_mor
cib_fact_brigantes,cib_reg_caer_wear
cib_fact_brigantes,cib_reg_cair_daun
cib_fact_brigantes,cib_reg_cataractonion
cib_fact_brigantes,cib_reg_dunholm
cib_fact_brigantes,cib_reg_inhrypum
cib_fact_brigantes,cib_reg_isurium
cib_fact_brigantes,cib_reg_keerford
cib_fact_brigantes,cib_reg_latenses
cib_fact_brigantes,cib_reg_lis_mor
cib_fact_brigantes,cib_reg_sceap_dun
cib_fact_caereni,cib_reg_caerbron
cib_fact_caledoni,cib_reg_aberness
cib_fact_caledoni,cib_reg_derdriun
cib_fact_caledoni,cib_reg_lochduin
cib_fact_caletes,cib_reg_caracotinum
cib_fact_cantiaci,cib_reg_dourbruf
cib_fact_cantiaci,cib_reg_durouernon
cib_fact_cantiaci,cib_reg_dwfr_ker
cib_fact_cantiaci,cib_reg_lemanae
cib_fact_cantiaci,cib_reg_tanet
cib_fact_carnonacae,cib_reg_aporcrosan
cib_fact_carnonacae,cib_reg_dun_bheccain
cib_fact_carnonacae,cib_reg_dun_mhulan
cib_fact_carnonacae,cib_reg_ebudes
cib_fact_carvetii,cib_reg_allt_dun
cib_fact_carvetii,cib_reg_luguwalion
cib_fact_catuvellauni,cib_reg_an_toot
cib_fact_catuvellauni,cib_reg_caer_cunobelinos
cib_fact_catuvellauni,cib_reg_dina_briwa
cib_fact_catuvellauni,cib_reg_durocobrivis
cib_fact_catuvellauni,cib_reg_lle_ffynnon
cib_fact_catuvellauni,cib_reg_neen_din
cib_fact_catuvellauni,cib_reg_verlamion
cib_fact_cauci,cib_reg_dun_ailinne
cib_fact_cauci,cib_reg_gleann_da_loch
cib_fact_cauci,cib_reg_saigher
cib_fact_coriondi,cib_reg_caisil
cib_fact_coriondi,cib_reg_cell_maic_aeda
cib_fact_coriondi,cib_reg_vedrafjordr
cib_fact_coriondi,cib_reg_veisafjordr
cib_fact_coritani,cib_reg_cair_tamas
cib_fact_coritani,cib_reg_dervention
cib_fact_coritani,cib_reg_drochebrig
cib_fact_coritani,cib_reg_ffyn_y_nant
cib_fact_coritani,cib_reg_letocaiton
cib_fact_coritani,cib_reg_lindon
cib_fact_coritani,cib_reg_mwd_din
cib_fact_coritani,cib_reg_ratae
cib_fact_coritani,cib_reg_sefeldion
cib_fact_coritani,cib_reg_tig_ar_y_aber
cib_fact_coritani,cib_reg_tig_guocobauc
cib_fact_cornavii,cib_reg_gurnbrough
cib_fact_cornavii,cib_reg_inbhir_theorsa
cib_fact_cornovii,cib_reg_bodweryn
cib_fact_cornovii,cib_reg_caer_caradog
cib_fact_cornovii,cib_reg_gunia
cib_fact_cornovii,cib_reg_karn_briga
cib_fact_cornovii,cib_reg_moel_byrn
cib_fact_cornovii,cib_reg_uriconion
cib_fact_creones,cib_reg_abernanton
cib_fact_creones,cib_reg_dun_nan_gall
cib_fact_damnonii,cib_reg_alt_clut
cib_fact_damnonii,cib_reg_carmore
cib_fact_damnonii,cib_reg_cathures
cib_fact_damnonii,cib_reg_drochaidh
cib_fact_damnonii,cib_reg_striveling
cib_fact_darini,cib_reg_cairlinn
cib_fact_darini,cib_reg_dun_droma
cib_fact_darini,cib_reg_emain_macha
cib_fact_darini,cib_reg_moige_bile
cib_fact_decantae,cib_reg_ros_mhaircnidh
cib_fact_deceangli,cib_reg_caer_ogyrfan
cib_fact_deceangli,cib_reg_din_lligwy
cib_fact_deceangli,cib_reg_dun_cawn
cib_fact_deceangli,cib_reg_pefenesea
cib_fact_deceangli,cib_reg_rudglann
cib_fact_demetae,cib_reg_aberteifi
cib_fact_demetae,cib_reg_caer_myrddin
cib_fact_demetae,cib_reg_cwm_bran
cib_fact_demetae,cib_reg_dinas_maelor
cib_fact_demetae,cib_reg_haeferfordd
cib_fact_demetae,cib_reg_hæferfordd
cib_fact_demetae,cib_reg_lann_cors
cib_fact_demetae,cib_reg_lann_dewi
cib_fact_demetae,cib_reg_mynyw
cib_fact_demetae,cib_reg_y_gaer_fawr
cib_fact_dobunni,cib_reg_burg_lgas
cib_fact_dobunni,cib_reg_caere_badon
cib_fact_dobunni,cib_reg_cilta
cib_fact_dobunni,cib_reg_tre_weir
cib_fact_dumnonii,cib_reg_bodfford
cib_fact_dumnonii,cib_reg_bodun
cib_fact_dumnonii,cib_reg_dun_tagel
cib_fact_dumnonii,cib_reg_dun_tamor
cib_fact_durotriges,cib_reg_axanbryc
cib_fact_durotriges,cib_reg_caer_penhallgot
cib_fact_durotriges,cib_reg_dun_co_abon_granta
cib_fact_durotriges,cib_reg_dun_kerch
cib_fact_durotriges,cib_reg_dun_menez
cib_fact_durotriges,cib_reg_hamdon
cib_fact_durotriges,cib_reg_mai_dun
cib_fact_durotriges,cib_reg_wogoced
cib_fact_ebdani,cib_reg_cluain
cib_fact_ebdani,cib_reg_cluain_iraird
cib_fact_ebdani,cib_reg_droim_menaich
cib_fact_ebdani,cib_reg_eblana
cib_fact_ebdani,cib_reg_loch_gabhair
cib_fact_epidii,cib_reg_dun_ad
cib_fact_epidii,cib_reg_dun_knausborg
cib_fact_epidii,cib_reg_oban
cib_fact_epidii,cib_reg_rauatonion
cib_fact_erdin,cib_reg_dun_na_ngall
cib_fact_erdin,cib_reg_sligeach
cib_fact_gangani,cib_reg_cathair_commain
cib_fact_gangani,cib_reg_imblech_ibair
cib_fact_gangani,cib_reg_inis_cathaigh
cib_fact_gangani,cib_reg_inis_sibhtonn
cib_fact_gangani,cib_reg_loch_raich
cib_fact_gangani,cib_reg_mowdacch
cib_fact_gangani,cib_reg_trer_cewri
cib_fact_gangani,cib_reg_tuam_greine
cib_fact_iceni,cib_reg_brannodunion
cib_fact_iceni,cib_reg_din_usa
cib_fact_iceni,cib_reg_elge
cib_fact_iceni,cib_reg_pont_war_weolud
cib_fact_iceni,cib_reg_tas_din
cib_fact_iverni,cib_reg_cuan_modha
cib_fact_lexovii,cib_reg_noviomagos
cib_fact_luceni,cib_reg_ard_fert
cib_fact_luceni,cib_reg_druim_collachair
cib_fact_luceni,cib_reg_dun_loch
cib_fact_lugi,cib_reg_bun_ilidh
cib_fact_menapi,cib_reg_achadh_bo
cib_fact_menapi,cib_reg_an_tinbhear_mor
cib_fact_menapi,cib_reg_cluain_mac_nois
cib_fact_menapi,cib_reg_drom_an_iarainn
cib_fact_menapi,cib_reg_ferna
cib_fact_morini,cib_reg_portus_itius
cib_fact_nagnate,cib_reg_ardach
cib_fact_nagnate,cib_reg_ceathair_maol
cib_fact_nagnate,cib_reg_cell_alaid
cib_fact_nagnate,cib_reg_druim_da_ethiar
cib_fact_nagnate,cib_reg_rath_cruachan
cib_fact_novantae,cib_reg_colen_bryn
cib_fact_novantae,cib_reg_dun_alt
cib_fact_novantae,cib_reg_dun_prys
cib_fact_novantae,cib_reg_rerigon
cib_fact_novantae,cib_reg_rhwospen
cib_fact_ordovices,cib_reg_caersws
cib_fact_ordovices,cib_reg_dunmore_ring
cib_fact_ordovices,cib_reg_llwyn_y_brain
cib_fact_parisi,cib_reg_eburakon
cib_fact_parisi,cib_reg_tig_ar_hul
cib_fact_parisi,cib_reg_tig_yn_cors
cib_fact_regni,cib_reg_cuala
cib_fact_regni,cib_reg_laewe
cib_fact_regni,cib_reg_loch_in_aice_ba
cib_fact_regni,cib_reg_læwe
cib_fact_remi,cib_reg_bibrax
cib_fact_robogdii,cib_reg_clocher
cib_fact_robogdii,cib_reg_coinnire
cib_fact_robogdii,cib_reg_dun_sebuirgi
cib_fact_robogdii,cib_reg_latharna
cib_fact_robogdii,cib_reg_rath_luraig
cib_fact_rome,cib_reg_noviodunum
cib_fact_selgovae,cib_reg_brocolition
cib_fact_selgovae,cib_reg_corda
cib_fact_selgovae,cib_reg_eil_dun
cib_fact_setanti,cib_reg_dun_moricambe
cib_fact_setanti,cib_reg_lifer_pol
cib_fact_setanti,cib_reg_mamnos
cib_fact_silures,cib_reg_caer_taff
cib_fact_silures,cib_reg_caer_venta
cib_fact_silures,cib_reg_lann_ildut
cib_fact_silures,cib_reg_nedd
cib_fact_smertae,cib_reg_carn_smeart
cib_fact_taexali,cib_reg_aber_don
cib_fact_taexali,cib_reg_men_aber
cib_fact_trinovantes,cib_reg_camulodunon
cib_fact_trinovantes,cib_reg_coed_agos_traeth
cib_fact_trinovantes,cib_reg_cors_crin
cib_fact_trinovantes,cib_reg_gipesbae
cib_fact_trinovantes,cib_reg_tre_ar_sturr
cib_fact_trinovantes,cib_reg_tre_uwch_baddow
cib_fact_vacomagi,cib_reg_bealach_dair
cib_fact_vacomagi,cib_reg_fofaras
cib_fact_vacomagi,cib_reg_touesis
cib_fact_velabri,cib_reg_cathair_domnaill
cib_fact_veliocasses,cib_reg_ratumacos
cib_fact_venellii,cib_reg_alauna
cib_fact_venellii,cib_reg_crociatonum
cib_fact_venicones,cib_reg_ard_sratha
cib_fact_venicones,cib_reg_caleto_dubro
cib_fact_venicones,cib_reg_dun_de
cib_fact_venicones,cib_reg_gortomagos
cib_fact_venicones,cib_reg_grianan_aileach
cib_fact_venicones,cib_reg_tulach
cib_fact_vodiae,cib_reg_cluain_mor
cib_fact_vodiae,cib_reg_corcach
cib_fact_volunti,cib_reg_cell_mor
cib_fact_volunti,cib_reg_linns
cib_fact_volunti,cib_reg_rath_an_draoi
cib_fact_volunti,cib_reg_teamhair
cib_fact_votadini,cib_reg_caer_eidyn
cib_fact_votadini,cib_reg_cilurnum
cib_fact_votadini,cib_reg_din_bar
cib_fact_votadini,cib_reg_din_gefron
cib_fact_votadini,cib_reg_din_pelydr
cib_fact_votadini,cib_reg_skipton
