regione,hex
mk_reg_erzurum,000030
mk_reg_kerak,000031
mk_reg_maragheh,000032
mk_reg_sale,000033
mk_reg_varna,000034
mk_reg_visoko,000035
mk_reg_ancona,000036
mk_reg_olomouc,000037
mk_reg_konigsberg,000038
mk_reg_volodymyr,000039
mk_reg_alexandria,00003A
mk_reg_visby,00003B
mk_reg_augsburg,00003D
mk_reg_palermo,000101
mk_reg_damietta,000102
mk_reg_cairo,000103
mk_reg_athens,000104
mk_reg_paris,000105
mk_reg_balkh,000106
mk_reg_bukhara,000107
mk_reg_daybal,000108
mk_reg_ghazi,000109
mk_reg_kandahar,00010A
mk_reg_nantes,00010B
mk_reg_samarkand,00010C
mk_reg_oslo,00010D
mk_reg_bergen,00010E
mk_reg_stockholm,00010F
mk_reg_kalmar,000110
mk_reg_cork,000111
mk_reg_reims,000112
mk_reg_fez,000113
mk_reg_tlemcen,000114
mk_reg_marrakech,000115
mk_reg_qus,000116
mk_reg_zeila,000117
mk_reg_qatif,000118
mk_reg_koln,000119
mk_reg_minsk,00011A
mk_reg_muscovy,00011B
mk_reg_arta,00011C
mk_reg_novgorod,00011D
mk_reg_pereyaslavl,00011E
mk_reg_polotsk,00011F
mk_reg_pskov,000120
mk_reg_smolensk,000122
mk_reg_tver,000123
mk_reg_vladimir,000124
mk_reg_yaroslavl,000125
mk_reg_acre,000126
mk_reg_al-mahdiya,000127
mk_reg_burgos,000128
mk_reg_granada,00012A
mk_reg_lubeck,00012B
mk_reg_erfut,00012C
mk_reg_nuremburg,00012D
mk_reg_kassa,00012E
mk_reg_plock,00012F
cha_reg_moravia_mosaburg,0002FF
mk_reg_nishapur,0002FF
bel_reg_venetia_et_histria_verona,0107FE
cha_reg_alemannia_basel,0107FE
mk_reg_massawa,0107FE
cha_reg_toledo_toledo,020CFD
mk_reg_jerusalem,020CFD
cha_reg_ulster_cruachan,0311FC
mk_reg_aqaba,0311FC
bel_reg_venetia_et_histria_patavium,0416FB
cha_reg_alemannia_chur,0416FB
mk_reg_lalibela,0416FB
cha_reg_wilzi_lipsk,051BFA
mk_reg_aarhus,051BFA
bel_reg_liguria_mediolanum,0620F9
cha_reg_al_andalus_almeria,0620F9
mk_reg_al-rahba,0620F9
bel_reg_picenum_suburbicarium_ancona,0725F8
cha_reg_croatia_jadra,0725F8
mk_reg_sinope,0725F8
mk_reg_diyarbakir,082AF7
cha_reg_west_aquitaine_poitiers,092FF6
mk_reg_maghas,092FF6
bel_reg_picenum_suburbicarium_spoletum,0A34F5
cha_reg_croatia_ptuj,0A34F5
mk_reg_ancyra,0A34F5
cha_reg_gharb_al_anadalus_beja,0B39F4
mk_reg_hamburg,0B39F4
mk_reg_antioch,0C3EF3
cha_reg_friuli_aquileia,0D43F2
mk_reg_gyulafehervar,0D43F2
cha_reg_swabia_bescanon,0E48F1
mk_reg_aix-en-provence,0E48F1
bel_reg_carthaginensis_libisosa,0F4DF0
mk_reg_venice,0F4DF0
bel_reg_sardinia_et_corsica_aleria,1052EF
cha_reg_burgundy_geneve,1052EF
mk_reg_erbil,1052EF
mk_sea_libyan,113445
cha_reg_leon_leon,1157EE
mk_reg_wittenberg,1157EE
cha_reg_sardinia_and_corsica_ajaccio,125CED
mk_reg_nancy,125CED
bel_reg_mauretania_tingitana_anfa,1361EC
mk_reg_kiev,1361EC
mk_sea_east_black_sea,141147
cha_reg_marca_hispanica_barcelona,1466EB
mk_reg_poznan,1466EB
mk_sea_flemish_german_bay,155675
cha_reg_jutland_aarhus,156BEA
mk_reg_leon,156BEA
cha_reg_munster_cashel,1670E9
bel_reg_flaminia_et_picenum_ravenna,1775E8
cha_reg_carinthia_lorch,1775E8
mk_reg_trier,1775E8
cha_reg_wessex_winchester,187AE7
mk_reg_regensburg,187AE7
bel_reg_praeualitana_epidaurum,197FE6
cha_reg_austrasia_aachen,197FE6
mk_reg_poitiers,197FE6
cha_reg_valencia_valencia,1A84E5
mk_reg_kerman,1A84E5
bel_reg_baetica_hispalis,1B89E4
mk_reg_krakow,1B89E4
bel_reg_liguria_augusta_taurinorum,1C8EE3
cha_reg_al_andalus_cordoba,1C8EE3
mk_reg_aydhab,1C8EE3
mk_reg_bilyar,1D93E2
cha_reg_jutland_hedeby,1E98E1
mk_reg_braga,1E98E1
cha_reg_jutland_ribe,1F9DE0
mk_reg_santiago,1F9DE0
cha_reg_marca_inferior_braga,20A2DF
mk_reg_wroclaw,20A2DF
bel_reg_praeualitana_doclea,21A7DE
cha_reg_austrasia_metz,21A7DE
mk_reg_bordeaux,21A7DE
bel_reg_mauretania_sitifensis_tipasa,22ACDD
mk_reg_zaragoza,22ACDD
