regione,r,g,b
mk_reg_erzurum,0,0,48
mk_reg_kerak,0,0,49
mk_reg_maragheh,0,0,50
mk_reg_sale,0,0,51
mk_reg_varna,0,0,52
mk_reg_visoko,0,0,53
mk_reg_ancona,0,0,54
mk_reg_olomouc,0,0,55
mk_reg_konigsberg,0,0,56
mk_reg_volodymyr,0,0,57
mk_reg_alexandria,0,0,58
mk_reg_visby,0,0,59
mk_reg_augsburg,0,0,61
mk_reg_palermo,0,1,1
mk_reg_damietta,0,1,2
mk_reg_cairo,0,1,3
mk_reg_athens,0,1,4
mk_reg_paris,0,1,5
mk_reg_balkh,0,1,6
mk_reg_bukhara,0,1,7
mk_reg_daybal,0,1,8
mk_reg_ghazi,0,1,9
mk_reg_kandahar,0,1,10
mk_reg_nantes,0,1,11
mk_reg_samarkand,0,1,12
mk_reg_oslo,0,1,13
mk_reg_bergen,0,1,14
mk_reg_stockholm,0,1,15
mk_reg_kalmar,0,1,16
mk_reg_cork,0,1,17
mk_reg_reims,0,1,18
mk_reg_fez,0,1,19
mk_reg_tlemcen,0,1,20
mk_reg_marrakech,0,1,21
mk_reg_qus,0,1,22
mk_reg_zeila,0,1,23
mk_reg_qatif,0,1,24
mk_reg_koln,0,1,25
mk_reg_minsk,0,1,26
mk_reg_muscovy,0,1,27
mk_reg_arta,0,1,28
mk_reg_novgorod,0,1,29
mk_reg_pereyaslavl,0,1,30
mk_reg_polotsk,0,1,31
mk_reg_pskov,0,1,32
mk_reg_smolensk,0,1,34
mk_reg_tver,0,1,35
mk_reg_vladimir,0,1,36
mk_reg_yaroslavl,0,1,37
mk_reg_acre,0,1,38
mk_reg_al-mahdiya,0,1,39
mk_reg_burgos,0,1,40
mk_reg_granada,0,1,42
mk_reg_lubeck,0,1,43
mk_reg_erfut,0,1,44
mk_reg_nuremburg,0,1,45
mk_reg_kassa,0,1,46
mk_reg_plock,0,1,47
cha_reg_moravia_mosaburg,0,2,255
mk_reg_nishapur,0,2,255
bel_reg_venetia_et_histria_verona,1,7,254
cha_reg_alemannia_basel,1,7,254
mk_reg_massawa,1,7,254
cha_reg_toledo_toledo,2,12,253
mk_reg_jerusalem,2,12,253
cha_reg_ulster_cruachan,3,17,252
mk_reg_aqaba,3,17,252
bel_reg_venetia_et_histria_patavium,4,22,251
cha_reg_alemannia_chur,4,22,251
mk_reg_lalibela,4,22,251
cha_reg_wilzi_lipsk,5,27,250
mk_reg_aarhus,5,27,250
bel_reg_liguria_mediolanum,6,32,249
cha_reg_al_andalus_almeria,6,32,249
mk_reg_al-rahba,6,32,249
bel_reg_picenum_suburbicarium_ancona,7,37,248
cha_reg_croatia_jadra,7,37,248
mk_reg_sinope,7,37,248
mk_reg_diyarbakir,8,42,247
cha_reg_west_aquitaine_poitiers,9,47,246
mk_reg_maghas,9,47,246
bel_reg_picenum_suburbicarium_spoletum,10,52,245
cha_reg_croatia_ptuj,10,52,245
mk_reg_ancyra,10,52,245
cha_reg_gharb_al_anadalus_beja,11,57,244
mk_reg_hamburg,11,57,244
mk_reg_antioch,12,62,243
cha_reg_friuli_aquileia,13,67,242
mk_reg_gyulafehervar,13,67,242
cha_reg_swabia_bescanon,14,72,241
mk_reg_aix-en-provence,14,72,241
bel_reg_carthaginensis_libisosa,15,77,240
mk_reg_venice,15,77,240
bel_reg_sardinia_et_corsica_aleria,16,82,239
cha_reg_burgundy_geneve,16,82,239
mk_reg_erbil,16,82,239
mk_sea_libyan,17,52,69
cha_reg_leon_leon,17,87,238
mk_reg_wittenberg,17,87,238
cha_reg_sardinia_and_corsica_ajaccio,18,92,237
mk_reg_nancy,18,92,237
bel_reg_mauretania_tingitana_anfa,19,97,236
mk_reg_kiev,19,97,236
mk_sea_east_black_sea,20,17,71
cha_reg_marca_hispanica_barcelona,20,102,235
mk_reg_poznan,20,102,235
mk_sea_flemish_german_bay,21,86,117
cha_reg_jutland_aarhus,21,107,234
mk_reg_leon,21,107,234
cha_reg_munster_cashel,22,112,233
bel_reg_flaminia_et_picenum_ravenna,23,117,232
cha_reg_carinthia_lorch,23,117,232
mk_reg_trier,23,117,232
cha_reg_wessex_winchester,24,122,231
mk_reg_regensburg,24,122,231
bel_reg_praeualitana_epidaurum,25,127,230
cha_reg_austrasia_aachen,25,127,230
mk_reg_poitiers,25,127,230
cha_reg_valencia_valencia,26,132,229
mk_reg_kerman,26,132,229
bel_reg_baetica_hispalis,27,137,228
mk_reg_krakow,27,137,228
bel_reg_liguria_augusta_taurinorum,28,142,227
cha_reg_al_andalus_cordoba,28,142,227
mk_reg_aydhab,28,142,227
mk_reg_bilyar,29,147,226
cha_reg_jutland_hedeby,30,152,225
mk_reg_braga,30,152,225
cha_reg_jutland_ribe,31,157,224
mk_reg_santiago,31,157,224
cha_reg_marca_inferior_braga,32,162,223
